нода,кол-во вин,вопрос сейчас,,вопрос новый,картинка,
вкус_сладкий_конфетный_цуккат,1,Нравятся цуккаты?,,Любишь сладкие цукаты?,http://tortsnab-msk.ru/wp-content/uploads/2015/01/cukat.jpg,
вкус_фруктовый_абрикос,1,Любишь абрикосы?,,,http://getalife.ru/uploads/ArticlesImg/NewArtic/%D0%B0%D0%B1%D1%80%D0%B8%D0%BA%D0%BE%D1%81-%D1%87%D1%83%D0%B4%D0%BE-%D1%8F%D0%B3%D0%BE%D0%B4%D0%B0.jpg,
вкус_сладкий_конфетный_карамель,1,Будешь карамельку?,,"Нравиться вкус карамели?, Добавляешь в еду или напитки карамельный сироп если есть возмоность?",http://kuking.net/uploads/10082015/4c968755208f5d009f40e0cb032eaa26.jpg,
вкус_ягодный_шиповник,1,Попробовал бы отвар шиповника?,,,http://pohudator.ru/wp-content/uploads/2015/04/shipovnik-cena-1728x800_c.jpg,
вкус_ягодный_черная смородина,1,Любишь черную смородину?,,,http://budetezdorovy.ru/wp-content/uploads/2016/01/currants_02.jpg,
аромат_копчёность,1,Нравится запах копченостей?,,"Запах капченой колбаски, да или нет?)",http://sostavproduktov.ru/sites/default/files/styles/article_body/public/pictures/meat/kolbasa/sostav_kopchenoy_kolbasy.jpg?itok=qWUZi9h1,
вкус_сладкий_выпечка_бисквит,1,Любишь бисквитное печенье?,,Как насчет бисквитного тортика?,http://www.gastronom.ru/binfiles/images/20141210/b3e99e80.jpg,
аромат_травяной_зелень,1,Добавляешь зелень в еду?,,"Любишь петрушку и укроп?, Нравится вкус свежей зелени?",http://polezniesoveti.net/wp-content/uploads/2015/06/zeleni.jpg,
аромат_жареный,1,Нравится как пахнет жареное мясо?,,"Хотелось бы сейчас чего-нибудь жаренного на углях?, Любишь аромат дымка?",http://viva-woman.ru/images/stories/recepty/shashlyk-iz-svininy-marinad-samyj-vkusnyj-10.jpg,
аромат_цветочный_жасмин,1,Нравится запах жасмина?,,,http://img0.liveinternet.ru/images/attach/c/7/98/827/98827210_3166706_0_a4392_db596e3d_1XL.jpg,
вкус_сладкий_ликер,1,Любишь ликеры?,,Пьешь иногда сладкие ликеры?,http://www.cru.ru/postimages/19650.jpg,
вкус_кокос,1,Люишь кокос?,,Любишь батончики баунти?,http://aviasovet.ru/blog/wp-content/uploads/2013/05/bounty.jpg,
аромат_цветочный_ромашка,1,Нравится запах ромашки?,,"Хотелось бы ощутить запах полевых цветов?, Нравится чай с ромашкой?",http://o-chae.com/uploads/posts/2013-11/1383489570_chay-s-romashkoy-polza-svoystva-romashkovogo-chaya.jpg,
аромат_древесный_смола,1,Нравится запах смолы?,,Нравиться запах дерева?,http://clubbrain.ru/wp-content/uploads/2015/01/2852_skolko_stoit_drevesina.jpg,
вкус_фруктовый_цитрусовый_гранат,1,Любишь гранат?,,Любишь гранатовый сок?,http://www.gastronom.ru/binfiles/images/20141015/b4184aa6.jpg,
вкус_ягодный_земляника,1,Любишь землянику?,,Как насчет земляничного варенья?,http://multivarenie.ru/images/multivarenie/2016/08/19.jpg,
вкус_солоноватый,1,Будешь крекер?,,Нравиться солоноватый привкус в напитках?,http://www.xcook.info/sites/default/files/styles/large/public/product_gallery/goluboj-syr-s-plesenju-3.jpg?itok=AauKF3Jp,
вкус_ягодный_клюква,1,Любишь клюкву?,,А морс ты любишь?,http://zhdumalisha.ru/wp-content/uploads/2015/12/mors.jpg,
вкус_пряный_мускатный орех,1,Добавил бы мускатный орех в блюдо?,вкус_пряный_мускат,Добавляешь мускатный орех в кофе?,http://www.kunpendelek.ru/content/lib/dietology/base/myst.jpg,
аромат_земля,1,Нравится запах дождя?,,"Представь что ты находишься на только что вспаханном поле, нравиться этот запах?",http://animalworld.com.ua/images/2015/December/Nature/Pocv/Erdpoc-8.jpg,
вкус_фруктовый_папайя,2,Нравится вкус папайи?,,Нравятся тропические фрукты такие как папайя?,http://www.neboleem.net/images/stories2/pitanie/papajja.jpg,
вкус_сладкий_конфетный_конфитюр,2,Любишь варенье?,вкус_сладкий_варенье,"Что скажешь, если я предложу тебе джема?",http://konservirovannye.ru/assets/images/jem_jele/jam_group.jpg,
вкус_ягодный_крыжовник,2,Любишь крыжовник?,,Как относишься к крыжовнику? Нравится?,http://www.art-pen.ru/wp-content/uploads/2011/11/gooseberries-wild1.jpg,
аромат_цветочный_роза,2,Нравится запах роз?,,Нравиться как пахнут розы?,http://mirsadovodnik.ru/wp-content/uploads/2015/07/sprej-rozy.jpg,
вкус_сладкий_конфетный_марципан,2,Съел бы конфеты с марципаном?,,Нравиться когда в конфеты добавляют марципан?,http://cdn.fishki.net/upload/post/201411/12/1327698/shutterstock_90314704.jpg,
вкус_ореховый_фундук,2,Любишь орехи?,,Шоколадка с орешками ведь вкуснее чем без них?,http://files.studfiles.ru/2706/1146/html_enlmFaA8E9.ctgh/htmlconvd-uEx0IL_html_49d5a2bb.jpg,
аромат_травяной_луг,2,Нравится аромат цветущего травняного луга?,,Хотел бы на мгновение оказаться на травяном лугу?,https://pixabay.com/static/uploads/photo/2015/11/20/21/48/meadow-1053916_960_720.jpg,
вкус_кофе,2,Пьеш кофе?,,Тебя можно назвать кофеманом?,http://izent.ru/i/ps/2016/02/1454726975.jpg,
аромат_пряный_лимонник,2,Как тебе запах лимона?,,,http://med-look.ru/wp-content/uploads/2015/10/limon-ot-vesnushek1.jpg,
вкус_лекарственнный_анис,2,Нравится запах аниса?,,Любшь конфетки от кашля?,http://o-chae.com/uploads/posts/2014-05/1400058787_anis-anisovyy-chay.jpg,
аромат_древесный_можжевельник,2,Нравятся нотки можжевельника в джине?,,Хотел бы прогуляться по можжевеловой роще?,http://img.7dach.ru/uploads/images/00/00/58/2013/03/21/d33a99.jpg,
вкус_чай,2,Пьешь чай?,,Любишь попить чайку?,http://hochu.ua/pictures_ckfinder/images/shutterstock_136561298.jpg,
аромат_травяной_лаванда,2,Нравится аромат лаванды?,,"Свежий запах лаванды, как тебе?",http://static.sendflowers.ua/images/content/lavanda-v-kachestve%20podarka4.jpg,
вкус_сладкий_выпечка_сдоба,2,Любишь сдобные булочки?,вкус_сладкий_выпечка_бриошь,вспоминаешь с ностальгией булочки из школьной столовой?,http://e0.edimdoma.ru/data/recipes/0006/7782/67782-ed4_wide.jpg?1468324813,
вкус_фруктовый_ананас,2,Съел бы ананас?,,Съел бы ананас?,http://taliya.ru/wp-content/uploads/2011/06/ananas-dlya-pohudeniya-02.jpg,
вкус_сухофрукты_чернослив,2,Любишь чернослив?,,Компот с черносливом - это вкусно?,http://irinazaytseva.ru/Pic/chernosliv2.jpg,
аромат_пряный_сандал,2,Нравится запах благовоний?,аромат_пряный_благовоние,Нравится запах благовоний?,http://yoga-koleso.ru/media/library/article/K_I10hv2N2M.jpg,
вкус_ягодный_малина,2,Любишь малину?,,Покупаешь малину летом?,http://sonmir.ru/wp-content/uploads/2014/02/%D1%81%D0%BD%D0%B8%D1%82%D1%81%D1%8F-%D0%BC%D0%B0%D0%BB%D0%B8%D0%BD%D0%B0.jpg,
вкус_ягодный_боярышник,2,Заварил бы чай с листьями боярышника?,,Бояршник и алкоголь - сочетаются? (и мы не про аптечную настойку),http://mamapedia.com.ua/UploadImages/nastoyki-boyaryishnika.jpg,
вкус_лекарственнный,2,У таблеток от кашля приятный вкус?,,У сиропа от кашля приятный вкус?,http://blog.taximaster.ru/wp-content/uploads/2016/03/7166736.jpg,
вкус_фруктовый_банан,2,Любишь бананы?,,Любишь бананы?,http://www.neboleem.net/images/stories2/pitanie/banan.jpg,
вкус_кофе_мокко,2,Пьешь кофе мокко?,,Добавить горячий шоколад в кофе - хорошая идея?,http://coffemanka.ru/wp-content/uploads/2013/10/kofe-mokko2.jpg,
вкус_пряный_розмарин,2,"Добавляешь розмарин, когда готовишь?",,Нравится привкус розмарина в гроге?,http://1.bp.blogspot.com/-gz7cBIegR2M/VGqBKg8WQiI/AAAAAAAAHNI/1yFQ4MPc8ts/s1600/IMG_7445.jpg,
аромат_древесный_грибной,2,Любишь блюда с грибами?,аромат_грибной,"Нравится ""тихая охота""?",http://saint-petersburg.ru/i/msg/0340/0537/ph32.jpg,
вкус_зерновой_хлеб,2,"Бывает так, что свежеиспеченный хлеб просто не реально донести до дома не укусив пару раз?)",вкус_зерновой_хлебный,"Бывает так, что свежеиспеченный хлеб просто не реально донести до дома не укусив пару раз?)",http://www.neboleem.net/images/stories2/zdorovi/9-produktov-kotorye-nelzja-hranit-v-holodilnike1.jpg,
аромат_травяной_свежескошенная трава,2,Нравится как пахнет свежескошенная трава?,,Нравится как пахнет свежескошенная трава?,http://milkoshop.okis.ru/sell/milkoshop/original/112499.jpg,
вкус_фруктовый_цитрусовый_апельсин,2,Любишь апельсины?,,Любишь апельсины?,http://img-fotki.yandex.ru/get/6522/6691896.27/0_71e0f_be73fb7f_XL,
вкус_фруктовый_клубника,2,Будешь клубнику?,вкус_ягодный_клубника,Лето без клубники - не лето?,https://images.lady.mail.ru/456757/,
вкус_фруктовый_манго,2,Хочешь манго?,,Хочешь тропический манго?,http://sovets.net/photos/uploads/120/7204447-4kak-vyibrat-spelyiy-mango.jpg,
вкус_пряный_фенхель,3,Добавил бы фенхель в соус?,,Добавил бы фенхель в соус?,http://yogavedi.ru/wp-content/uploads/2016/09/fenxel3.jpg,
вкус_кофе_эспрессо,3,Пьешь эспрессо по утрам?,,Эспрессо с утра - хорошее начало дня?,http://img.shop.cantata.ru/images/products/1/1190/37282982/kofe_6.jpg,
аромат_травяной_сухоцвет,3,Поставил бы на стол букет сухоцветов?,,Украсил бы комнату букетом сухоцветов?,http://topkvadrat.ru/public/wysiwyg/images/korzina.jpg,
аромат_цитрусовый_жимолость,3,Нравится аромат жимолости?,,Нравится аромат жимолости?,http://vogorode.com/wp-content/uploads/2016/06/Dlinnoplodnaja.jpg,
вкус_сладкий_конфетный_помадка,3,Хочешь помадку?,,Хочешь помадку?,http://irecommend.ru/sites/default/files/imagecache/copyright1/user-images/282512/nuSOZKccdQHIdWTfbpnB2Q.JPG,
аромат_травяной_полевые цветы,3,Нравится запах полевых цветов?,,Нравится запах полевых цветов?,http://www.fresher.ru/manager_content/images2/polevye-cvety-neprixotlivye-krasavcy/big/1.jpg,
аромат_травяной_полынь,3,Нравится запах полыни?,,У абсента приятный вкус?,http://vzboltay.com/uploads/posts/2015-04/1429028893_kak-pit-absent-3.jpg,
аромат_древесный_эвкалипт,3,Эвкалипт помогает при простуде?,,Эвкалипт хорош при простуде?,http://www.plantopedia.ru/upload/plantopedia/05_Floristic/Ensiclopedia/E/Eucalyptus.jpg,
вкус_пряный_вяленое мясо,3,Попробовал бы вяленое мясо?,,Вяленое мясо - это вкусно?,http://korolcat.ru/wp-content/uploads/2015/06/vyalenoe-myaso.jpg,
аромат_древесный_яблоневый,3,Посадил бы яблони у себя на даче?,,Посадил бы яблони у себя на даче?,http://fitohome.ru/wp-content/uploads/2014/01/yablonya-lesnaya-1.jpg,
аромат_цитрусовый_вербена,3,Нравится запах вербены?,,Нравится запах вербены?,http://www.art-pen.ru/wp-content/uploads/2011/11/verbena33.jpg,
вкус_сухофрукты,3,Любишь сухофрукты?,,Любишь сухофрукты?,http://iveggy.ru/images/suhofrukt.jpg,
вкус_пряный_имбирь,3,Добавляешь имбирь в чай?,,Пьешь имбирный чай?,http://www.zhkt.guru/userfiles/imbirnyy-chay-pri-pankreatite.jpg,
вкус_фруктовый_дыня,3,Нравится дыня?,,Дыня - главная ягода осени?,http://www.nexplorer.ru/load/Image/0814/dynya_600.jpg,
вкус_сливочный,3,Любишь сливочный вкус?,,Нравится сладкий сливочный ликер?,http://therumdiary.ru/wp-content/uploads/2014/02/home-bailays-4.jpg,
аромат_цитрусовый,3,Нравятся цитрусовые нотки в парфюме?,,Нравятся цитрусовые запахи?,http://sportizdorovie.ru/wp-content/uploads/2014/01/%D1%86%D0%B8%D1%82%D1%80%D1%83%D1%81%D0%BE%D0%B2%D1%8B%D0%B5.jpg,
вкус_фруктовый_маракуя,4,Любишь маракую?,вкус_фруктовый_маракуйя,Любишь экзотическую маракую?,http://n1s2.hsmedia.ru/9c/aa/bc/9caabc07fe0c28c4f797a8315109d425/600x401_0_7316f9c94c85563670063028ca1d10bb@800x534_0x59f91261_21309824521386235854.jpeg,
вкус_пряный_паприка,4,Добавил бы правприку в набор приправ для барбекю?,,Сладкий перец - это вкусно?,http://speciesinfo.ru/images/stories/pripravi/paprica/paprika.jpg,
вкус_сладкий_выпечка,4,Будешь булочку?,,Любишь домашние сладкие булочки?,http://fb.ru/misc/i/gallery/14901/680546.jpg,
вкус_фруктовый_яблоко,4,Будешь яблоко?,,Любишь яблоки?,http://xcook.info/sites/default/files/products/6/jabloki-2.jpg,
вкус_фруктовый_цитрусовый_грейпфрут,4,Хочешь грецпфрут?,,Нравится горьковатый вкус грейпфрута?,http://www.rabstol.net/uploads/gallery/main/579/rabstol_net_fruits_06.jpg,
вкус_пряный_перец,4,"Ещь острую, перченую пищу?",вкус_пряный_перченый,Любишь острую китайскую кухню?,http://i2.wp.com/bravecactus.ru/wp/media/2014/11/2014-09-27-at-17-57-36-korea-08265.jpg?resize=975%2C649,
аромат_цветочный_фиалка,4,Выращивал бы фиалки у себя дома?,,Выращивал бы фиалки у себя дома?,http://krdou211.ru/_si/0/37935990.jpg,
аромат_травяной,4,Нравится травяной аромат?,,Любишь чай с травами?,http://www.teaworld.ru/upload/medialibrary/4fe/4fe6b955690400b843e53290d8fd82e1.JPG,
вкус_сладкий_конфетный_джем,4,Хочешь тосты с джемом на завтрак?,,Любишь тосты с джемом на завтрак?,http://och-vkusno.com/wp-content/uploads/2014/09/MG_1340.jpg,
аромат_травяной_полынь_эстрагон,4,Тебе приятен запах полыни?,,Тебе приятен запах полыни?,http://prodgid.ru/wp-content/uploads/2015/09/x_13e25f0f57.jpg,
вкус_ореховый_кедровый орех,4,вкус_ореховый_кедровый орех,,Любишь кедровые орешки?,http://www.kunpendelek.ru/content/lib/dietology/base/cedar.jpg,
аромат_лесной,4,Нравится запах леса?,,Нравится запах леса?,http://givoyles.ru/wp-content/uploads/2015/05/1431297_98265943.jpg,
вкус_пряный_мята,4,Нравится мятная свежесть?,вкус_свежий_ментол,Нравится мятная жевачка?,http://infosmi.net/images/stories/articles/2013/Zdorovie/12-2013/06/52281_original.jpg,
вкус_сладкий_ваниль,4,Добавил бы ваниль в пирожное?,,Любишь ванильное мороженное?,http://g1.delphi.lv/images/pix/659x380/a6Jg4HkaOIs/vanila-saldejums-vanilas-paksts-46024853.jpg,
вкус_фруктовый_цитрусовый_лимон,5,Пьешь чай с лимоном?,,Пьешь чай с лимоном?,https://nebolet.com/medimg/content/Chaj-s-limonom-dlja-beremennyh.jpg,
вкус_сладкий_выпечка_печение,5,Хочешь печеньку?,,Будешь печенье?,http://luchshiye.com/images/amerikanskoe-pechenje.jpg,
вкус_ореховый_миндаль,5,Нравится миндаль?,,Любишь восточный миндаль?,http://eda-polza-vred.ru/wp-content/uploads/2015/03/%D0%9C%D0%B8%D0%BD%D0%B4%D0%B0%D0%BB%D1%8C-%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D0%B0.jpg,
аромат_табак,5,Запах табака - приятен?,,Тебе приятен запах табака?,http://www.tabacum.ru/images/types_tobacco_1.jpg,
вкус_кислый,5,Нравится вкус с кислинкой?,,Поливаешь рыбу лимонным соком?,https://img3.goodfon.ru/wallpaper/big/e/dd/fish-seafood-lime-ryba.jpg,
вкус_сладкий_конфетный_шоколад,5,Любишь шоколад?,,Любишь горький шоколад?,http://kachestvo.ru/netcat_files/Image/sh1(1).jpg,
аромат_дым,5,Нравится запах костра?,,,http://zhit-budete.ru/_mod_files/ce_images/images/vreden-li-dym-ot-kostra.jpg,
аромат_древесный,5,Пользуешься духами с древесными нотами?,,нравится запах деревянной мебели?,http://kraska.guru/wp-content/uploads/2016/02/chem-pokryt-pol-v-bane.jpg,
аромат_цветочный_черёмуха,5,Приятен аромат черемухи?,,,http://ogorodsadovod.com/sites/default/files/u79/2016/02/tree1.jpg,
вкус_фруктовый_груша,5,Любишь груши?,,"Сладкая, спелая, сочная груша, скушал бы такую?",http://kkal.ru/wp-content/uploads/2015/12/original3.jpg,
вкус_сладкий_конфетный_пастила,5,Съел бы пастилы?,,,http://russkayakuhnya1.ru/wp-content/uploads/2014/11/pastila-recept-01.jpg,
аромат_травяной_клевер,6,У клевера приятный запах?,,,http://econet.ru/uploads/pictures/268069/content_klever1_1__econet_ru.jpg,
аромат_древесный_хвойный,6,Нравится аромат хвои?,,Любишь гулять в хвойном лесу?,http://wnature.net/pictures/2014/02/61/doroga-v-sosnovom-lesu.jpg,
вкус_фруктовый_цитрусовый_лимонный,6,Любишь чай с лимоном?,,101 вкус???,https://nebolet.com/medimg/content/Chaj-s-limonom-dlja-beremennyh.jpg,
вкус_молочный,6,Любишь молочку?,,Нравится вкус молочных продуктов?,http://prodgid.ru/wp-content/uploads/2015/01/%D0%BA%D0%BE%D0%B7%D1%8C%D0%B5-%D0%BC%D0%BE%D0%BB%D0%BE%D0%BA%D0%BE-1.jpg,
вкус_ягодный_смородина,6,Посалил бы смородину у себя на участке?,,Скушал бы мороженное со смородиной?,http://aybolit.ru/wp-content/uploads/2016/06/Smorodina-pri-diabete.jpg,
аромат_древесный_мох,6,Мох приятно пахнет?,,,http://aybolit.ru/wp-content/uploads/2016/06/Smorodina-pri-diabete.jpg,
вкус_сладкий_конфетный_лакрица,6,Кофеты с лакрицей - это вкусно?,,,http://www.neboleem.net/images/stories2/pitanie/lakrica.jpg,
вкус_горький_прополис,6,Странный вопрос: нравится оттенок прополиса в зубной пасте?,,,http://xn--d1acrjbb5h.xn--p1ai/upload/000/u3/011/4be9e897.jpg,
вкус_ореховый,7,Любишь орехи?,,,http://delayvkusno.ru/wp-content/uploads/2013/09/url.jpg,
аромат_травяной_кориандр,7,"Приправил бы еду кинзой? (как в грузинской кухне, например)",,,http://zonatigra.ru/images/priprava-2/koriandr3-1-b.jpg,
вкус_фруктовый_слива,7,Любишь сливы?,,,https://zlatpitomnik.ru/image/cache/catalog/plodovka/sliva_uraljskaya_zolotistaya-450x300.jpg,
вкус_сладкий_мед,7,Добавил бы корень ревеня в салат?,,Чай с медом - это вкусно?,http://www.supersadovnik.ru/binfiles/images/20160129/b704a896.jpg,
вкус_сладкий_конфетный_дюшес,7,Любил дюшес в детстве?,,,http://imichurin.narod.ru/Itogi60/tmp51_files/tmp51-131.jpg,
вкус_ягодный_барбарис,8,Любишь барбариски?,,,http://www.glav-dacha.ru/wp-content/uploads/2015/08/Spelye-yagody-barbarisa.jpg,
аромат_травяной_сено,8,Нравится запах сена?,,,http://komiinform.ru/content/image-news/122053/!.jpg,
вкус_сладкий_выпечка_кекс,8,Может кусочек кекса?,,Хочешь почувствовать вкус кекса?,http://kakgotovit.com/wp-content/uploads/2014/10/Kofejny-j-keks-s-vishnej.jpg,
вкус_фруктовый_цитрусовый_лайм,8,Лайм сочетается с алкоголем? (текила не в счет),,,http://maxponomarenko.ru/alc_drink/tequila/tequila-shooter-lime-salt.jpg,
вкус_травяной_одуванчик,8,Хочешь попробовать вино из одуваничков?,,,https://img2.goodfon.ru/wallpaper/big/e/82/mat-i-macheha-vesna-zheltye.jpg,
вкус_кислый_ревень,8,Добавил бы корень ревеня в салат?,,Любишь блюда с легкой кислинкой?,http://bezmedikamentov.ru/wp-content/uploads/2016/07/%D0%BB%D0%B8%D0%BC%D0%BE%D0%BD.png,
вкус_сладкий_конфетный_леденец,8,Хочешь леденец?,,,http://amigurumik.com/wp-content/uploads/2012/12/%D0%9B%D0%B5%D0%B4%D0%B5%D0%BD%D1%86%D1%8B-7.jpg,
вкус_молочный_йогурт,8,Позавтракал бы йогуртом?,,,http://www.bodybuilding.com/images/2016/june/4-reasons-dairy-belongs-in-your-nutrition-plan-1b.jpg,
вкус_сладкий_конфетный_торт,8,Как насчет тортика?,,,https://i.ytimg.com/vi/5WGHtBBCiTs/maxresdefault.jpg,
вкус_фруктовый_вишня,8,Любишь вишню?,,"Сочная сладкая вишня, хочешь?",http://www.fruitsvege.com/wp-content/uploads/2013/07/vishnya-frukt-yagoda-virashivanie.jpg,
вкус_сладкий_конфетный_пралине,9,Попробовал бы пралине?,,,http://aroma-wiki.ru/wp-content/uploads/2011/10/%D0%BC%D0%BE%D0%BB%D0%BE%D1%87%D0%BD%D1%8B%D0%B5-%D0%BF%D1%80%D0%B0%D0%BB%D0%B8%D0%BD%D0%B5-%D0%B4%D0%BB%D1%8F-%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B.jpg,
вкус_древесный_хвойный_сосновный,9,Прогулялся бы в сосновом лесу?,,,https://libtime.ru/wp-content/uploads/2016/05/sosnovyy-bor.jpg,
вкус_ореховый_грецкий орех,9,А как насчет грецких орехов?,,,http://diabetiky.com/wp-content/uploads/2014/04/gretskij_oreh1.jpg,
вкус_фруктовый_киви,9,Любишь киви?,,Сделал бы фруктовый салат с киви?,http://megaogorod.com/files/styles/galleryformatter_slide/public/field/image/u2169/6_121.jpg?itok=xtITlWO6,
вкус_ягодный_алыча,9,Нравится вкус алычи?,,Алыча лучше сливы?,http://sadnakrishe.com/_bl/1/19150501.jpg,
аромат_цветочный_орхидея,9,Любишь запах орхидей?,,,http://sad-doma.net/wp-content/uploads/2015/05/728397.jpg,
аромат_цветочный_календула,10,Нравится запах календулы?,,,http://koffkindom.ru/wp-content/uploads/2016/02/%D0%9A%D0%B0%D0%BB%D0%B5%D0%BD%D0%B4%D1%83%D0%BB%D0%B0-%D0%BB%D0%B5%D1%87%D0%B5%D0%B1%D0%BD%D1%8B%D0%B5-%D1%81%D0%B2%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%B0-%D0%B8-%D0%BF%D1%80%D0%BE%D1%82%D0%B8%D0%B2%D0%BE%D0%BF%D0%BE%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%B8%D1%8F-23.jpg,
вкус_ягодный_кизил,10,Кизил сочетается с алкоголем?,,,http://n1s2.hsmedia.ru/bd/fa/d0/bdfad0fc40c0c6dd00c837070e891ba3/600x401_0_53dcb728cc6d49d4252b0bd5ef8c1837@800x534_0x59f91261_14969848761394186836.jpeg,
аромат_древесный_каштан,11,Любил собирать каштаны в детстве?,,,https://nebolet.com/medimg//content//kashtan-konskij-2.jpg,
вкус_ягодный_черноплодный,11,А черноплодную рябину попробовал бы?,,Хочешь попробовать черноплодную рябину?,http://health.hozvo.ru/storage/bitrix/upload/iblock/496/7064e34231891e07901577c056e56d14.jpg,
вкус_ягодный_рябина,11,Попробовал бы рябину?,,Хочешь попробовать рябину?,http://www.super-gardens.ru/images/51031140_0927de9a658d8239147f8c1199938a0a.jpg,
вкус_сладкий_конфетный_нуга,12,Любишь ореховую нугу?,,,http://www.vkusnyblog.ru/wp-content/uploads/2011/05/choko-covered-nougat-7.jpg,
вкус_зерновой_овсянка,13,Овсянка по утрам - это вкусно?,,,http://kapushka.ru/wp-content/uploads/2015/01/ovsyanka-----hlopya.jpg,
вкус_сладкий_конфетный,14,Будешь конфету?,,Любишь сладкие конфетки?,http://classpic.ru/wp-content/uploads/SHokoladnye-konfety.jpg,
аромат_цветочный,15,Покупаешь духи/одеколон с цветочными нотами?,,любишь запах на цветочном лугу?,http://namonitore.ru/uploads/catalog/nature/tsvetochniy_lug_1_1600.jpg,
вкус_фруктовый_персик,16,Любишь персики?,,Персик?,http://www.medweb.ru/upload/enarticles/photo_23625.jpg,
вкус_фруктовый_цитрусовый,18,Любишь цитрусовые?,,,http://shkolazhizni.ru/img/content/i131/131961_or.jpg,
